timestamp,state,traffic_rate,traffic_rate_unit,tdma_delay,csma_delay,delay_unit,tdma_throughput,csma_throughput,throughput_unit,qlearning_selected_mac,reward_tdma,reward_csma,q_tdma_before,q_csma_before,q_tdma_after,q_csma_after,reward_selected,epsilon,alpha,gamma,n_bins
0,0,100.0,pps,0.11893684881355945,0.0016709736129905345,s,1.18,1.1824,Mbps,CSMA_CA,-0.0010148849758604972,0.4999999999995771,0.0,0.0,-0.00010148849758604973,0.04999999999995772,0.4999999999995771,0.0,0.1,0.0,10
1,0,147.0,pps,0.12630552415679097,0.0017593163265305996,s,1.7552,1.8032,Mbps,CSMA_CA,-0.013309671691020097,0.49999999999972267,-0.00010148849758604973,0.04999999999995772,-0.0014223068169294546,0.09499999999993422,0.49999999999972267,0.0,0.1,0.0,10
2,1,194.0,pps,0.13690335841313261,0.001884763636363633,s,2.3392,2.332,Mbps,CSMA_CA,3.489430966396867e-12,0.4984610123116884,0.0,0.0,3.489430966396867e-13,0.04984610123116884,0.4984610123116884,0.0,0.1,0.0,10
3,1,242.0,pps,0.1544287481420311,0.0020416471713582836,s,2.9064,2.9272,Mbps,CSMA_CA,-0.0035528832983369174,0.4999999999998292,3.489430966396867e-13,0.04984610123116884,-0.00035528832951964295,0.09486149110803488,0.4999999999998292,0.0,0.1,0.0,10
4,2,289.0,pps,0.16838809623334863,0.0021895888187556407,s,3.4832,3.5488,Mbps,CSMA_CA,-0.00924256086277453,0.4999999999998591,0.0,0.0,-0.000924256086277453,0.04999999999998592,0.4999999999998591,0.0,0.1,0.0,10
5,2,336.0,pps,0.1732913250158594,0.0022398572908036603,s,3.7832,3.8624,Mbps,CSMA_CA,-0.010252692623550053,0.49999999999987055,-0.000924256086277453,0.04999999999998592,-0.001857099740004713,0.09499999999997438,0.49999999999987055,0.0,0.1,0.0,10
6,3,384.0,pps,0.2086502384210527,0.0026586841269841278,s,4.56,4.536,Mbps,CSMA_CA,2.3176460750562455e-12,0.4973684210525225,0.0,0.0,2.3176460750562457e-13,0.049736842105252255,0.4973684210525225,0.0,0.1,0.0,10
7,3,431.0,pps,0.2344910982336537,0.003164939393939376,s,5.1632,5.2272,Mbps,CSMA_CA,-0.00612182430157554,0.49999999999990435,2.3176460750562457e-13,0.049736842105252255,-0.0006121824299489659,0.09476315789471747,0.49999999999990435,0.0,0.1,0.0,10
8,4,478.0,pps,0.2704760249574595,0.003849980106472393,s,5.6416,5.7104,Mbps,CSMA_CA,-0.006024096383753397,0.49999999999991246,0.0,0.0,-0.0006024096383753397,0.049999999999991246,0.49999999999991246,0.0,0.1,0.0,10
9,4,526.0,pps,0.317571074682408,0.006308623787011667,s,6.2344,6.4304,Mbps,CSMA_CA,-0.015240109478439179,0.49999999999992223,-0.0006024096383753397,0.049999999999991246,-0.002066179622381724,0.09499999999998435,0.49999999999992223,0.0,0.1,0.0,10
10,5,573.0,pps,0.4063887374202675,0.009222483814625019,s,6.7728,6.8704,Mbps,CSMA_CA,-0.007102934325780741,0.4999999999999272,0.0,0.0,-0.0007102934325780741,0.049999999999992724,0.4999999999999272,0.0,0.1,0.0,10
11,5,621.0,pps,0.5221748340538734,0.06466855760171328,s,7.2168,7.472,Mbps,CSMA_CA,-0.017077087793404333,0.49999999999993305,-0.0007102934325780741,0.049999999999992724,-0.0023469728686607,0.09499999999998676,0.49999999999993305,0.0,0.1,0.0,10
12,6,668.0,pps,0.6037502389295952,0.5560382712678814,s,7.5336,7.3256,Mbps,CSMA_CA,1.0413170326017962e-11,0.4861951789316547,0.0,0.0,1.0413170326017962e-12,0.04861951789316547,0.4861951789316547,0.0,0.1,0.0,10
13,6,715.0,pps,0.7452977935582807,0.9170868674884429,s,7.824,7.2688,Mbps,TDMA,0.4999999999999361,-0.03548057259428583,1.0413170326017962e-12,0.04861951789316547,0.0500000000009308,0.040209508844420344,0.4999999999999361,0.0,0.1,0.0,10
14,7,763.0,pps,0.9108479414119707,1.2341325789473712,s,8.1928,7.2352,Mbps,TDMA,0.49999999999993894,-0.058441558440065766,0.0,0.0,0.0499999999999939,-0.005844155844006577,0.49999999999993894,0.0,0.1,0.0,10
15,7,810.0,pps,1.2043994207816964,1.454390751276357,s,8.392,7.208,Mbps,TDMA,0.49999999999994044,-0.07054337464056776,0.0499999999999939,-0.005844155844006577,0.09499999999998855,-0.012314077723662695,0.49999999999994044,0.0,0.1,0.0,10
16,8,857.0,pps,1.414037224244702,1.8123896836302875,s,8.5264,7.184,Mbps,TDMA,0.4999999999999414,-0.07872021016955799,0.0,0.0,0.04999999999999414,-0.0078720210169558,0.4999999999999414,0.0,0.1,0.0,10
17,8,905.0,pps,1.6217029140610495,2.1413305989949727,s,8.648,7.164,Mbps,TDMA,0.49999999999994216,-0.08580018501296172,0.04999999999999414,-0.0078720210169558,0.09499999999998894,-0.01566483741655639,0.49999999999994216,0.0,0.1,0.0,10
18,9,952.0,pps,1.875929631651884,2.357673667967447,s,8.6592,7.1752,Mbps,TDMA,0.49999999999994227,-0.08568920916382888,0.0,0.0,0.04999999999999423,-0.008568920916382889,0.49999999999994227,0.0,0.1,0.0,10
19,9,1000.0,pps,2.074338869553223,2.605177853325881,s,8.7024,7.156,Mbps,TDMA,0.49999999999994255,-0.08884905313387287,0.04999999999999423,-0.008568920916382889,0.09499999999998907,-0.01659693413813189,0.49999999999994255,0.0,0.1,0.0,10
