slot_index,q_max,q_allotted,q_used,q_wasted,enqueues,dequeues,drops
692000,15000,15000,0,15000,3,3,0
693000,15000,15000,0,15000,1,1,0
694000,15000,15000,0,15000,2,2,0
695000,15000,15000,0,15000,0,0,0
696000,15000,15000,0,15000,0,0,0
697000,15000,15000,0,15000,1,1,0
698000,15000,15000,0,15000,1,1,0
699000,15000,15000,0,15000,1,1,0
700000,15000,15000,0,15000,2,2,0
701000,15000,15000,0,15000,1,1,0
702000,15000,15000,0,15000,3,3,0
703000,15000,15000,0,15000,2,2,0
704000,15000,15000,0,15000,1,1,0
705000,15000,15000,0,15000,1,1,0
706000,15000,15000,0,15000,2,2,0
707000,15000,15000,0,15000,1,1,0
708000,15000,15000,0,15000,0,0,0
709000,15000,15000,0,15000,1,1,0
710000,15000,15000,0,15000,1,1,0
711000,15000,15000,0,15000,0,0,0
712000,15000,15000,0,15000,1,1,0
713000,15000,15000,0,15000,0,0,0
714000,15000,15000,0,15000,2,2,0
715000,15000,15000,0,15000,1,1,0
716000,15000,15000,0,15000,1,1,0
717000,15000,15000,0,15000,0,0,0
718000,15000,15000,0,15000,1,1,0
719000,15000,15000,0,15000,1,1,0
720000,15000,15000,0,15000,0,0,0
721000,15000,15000,0,15000,0,0,0
722000,15000,15000,0,15000,1,1,0
723000,15000,15000,0,15000,1,1,0
724000,15000,15000,0,15000,0,0,0
725000,15000,15000,0,15000,0,0,0
726000,15000,15000,0,15000,0,0,0
727000,15000,15000,0,15000,1,1,0
728000,15000,15000,0,15000,0,0,0
729000,15000,15000,0,15000,0,0,0
730000,15000,15000,0,15000,3,3,0
731000,15000,15000,0,15000,0,0,0
732000,15000,15000,0,15000,1,1,0
733000,15000,15000,0,15000,0,0,0
734000,15000,15000,0,15000,0,0,0
735000,15000,15000,0,15000,2,2,0
736000,15000,15000,0,15000,1,1,0
737000,15000,15000,0,15000,0,0,0
738000,15000,15000,0,15000,1,1,0
739000,15000,15000,0,15000,1,1,0
740000,15000,15000,0,15000,0,0,0
741000,15000,15000,0,15000,0,0,0
742000,15000,15000,0,15000,0,0,0
743000,15000,15000,0,15000,1,1,0
744000,15000,15000,0,15000,0,0,0
745000,15000,15000,0,15000,0,0,0
746000,15000,15000,0,15000,1,1,0
747000,15000,15000,0,15000,0,0,0
748000,15000,15000,0,15000,1,1,0
749000,15000,15000,0,15000,1,1,0
750000,15000,15000,0,15000,0,0,0
751000,15000,15000,0,15000,0,0,0
752000,15000,15000,0,15000,0,0,0
753000,15000,15000,0,15000,0,0,0
